show_id,movie,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6,recommendation7,recommendation8,recommendation9,recommendation10
s1,Dick Johnson Is Dead,s5895,s3336,s6399,s3718,s7623,s7016,s7600,s6896,s6661,s4530
s2,Blood & Water,s234,s1874,s7017,s1586,s7259,s2795,s5240,s1924,s3788,s7131
s3,Ganglands,s2669,s3426,s5481,s658,s5489,s1237,s4111,s4004,s3298,s3009
s4,Jailbirds New Orleans,s3256,s224,s6358,s1004,s1659,s4909,s5883,s8654,s1929,s701
s5,Kota Factory,s2038,s473,s2175,s7289,s2255,s1493,s4858,s5028,s1433,s1060
s6,Midnight Mass,s6604,s8294,s1318,s7419,s1350,s1517,s3749,s1707,s3474,s5348
s7,My Little Pony: A New Generation,s4116,s2657,s1802,s3017,s3402,s6356,s5398,s8642,s2160,s1120
s8,Sankofa,s5690,s8239,s228,s6520,s6240,s3868,s1988,s6310,s3908,s6511
s9,The Great British Baking Show,s4462,s8332,s1597,s5258,s1130,s6365,s3551,s7419,s8711,s6561
s10,The Starling,s3966,s5597,s2036,s3296,s605,s6842,s3734,s1089,s1765,s5327
s11,Vendetta: Truth Lies and The Mafia,s1950,s2355,s5619,s5955,s6150,s8404,s3939,s263,s6718,s322
s12,Bangkok Breaking,s7522,s1697,s2125,s1083,s5438,s1463,s4512,s6510,s750,s758
s13,Je Suis Karl,s479,s5487,s3768,s5916,s3752,s4649,s896,s3680,s1233,s5528
s14,Confessions of an Invisible Girl,s3748,s2602,s262,s3267,s3605,s1281,s6543,s1105,s5661,s4741
s15,Crime Stories: India Detectives,s8432,s3593,s6652,s5055,s1126,s4309,s5804,s6696,s6539,s3243
s16,Dear White People,s8506,s2932,s6044,s8549,s5941,s6371,s5878,s8657,s5521,s5580
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,s4156,s2113,s7257,s5069,s6787,s1957,s2317,s3186,s3003,s4626
s18,Falsa identidad,s1461,s1339,s8023,s8210,s2358,s1642,s2433,s4090,s4552,s5070
s19,Intrusion,s7070,s4411,s6366,s6330,s1657,s2284,s8444,s7010,s2694,s6380
s20,Jaguar,s4119,s166,s2450,s779,s2323,s1488,s2166,s3120,s5752,s7121
s21,Monsters Inside: The 24 Faces of Billy Milligan,s4306,s1428,s8432,s3593,s3025,s6652,s5055,s1126,s5804,s4309
s22,Resurrection: Ertugrul,s7350,s3588,s2213,s7267,s3688,s6975,s276,s3021,s1211,s5279
s23,Avvai Shanmughi,s27,s25,s8173,s2489,s3005,s4189,s2513,s8667,s2505,s2490
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,s6449,s459,s2372,s2811,s1377,s1811,s3423,s4766,s7588,s1636
s25,Jeans,s2083,s5009,s3918,s2545,s8145,s3078,s4574,s4725,s3517,s3494
s26,Love on the Spectrum,s2525,s4377,s225,s466,s2055,s4605,s7719,s1948,s1448,s8487
s27,Minsara Kanavu,s254,s298,s23,s6079,s6581,s4424,s4734,s4423,s4587,s8137
s28,Grown Ups,s1880,s5534,s5327,s6304,s6019,s5259,s8791,s5714,s4483,s1419
s29,Dark Skies,s5632,s531,s1958,s6746,s5316,s6846,s5823,s2779,s5974,s7909
s30,Paranoia,s1567,s2879,s3487,s4072,s4691,s6420,s7966,s119,s3518,s7719
s31,Ankahi Kahaniya,s8807,s4032,s8763,s1081,s1109,s2320,s4225,s7700,s8484,s4384
s32,Chicago Party Aunt,s6658,s4551,s619,s4071,s1607,s2546,s4561,s5529,s1958,s7883
s34,Squid Game,s732,s5066,s1644,s5436,s4133,s3289,s687,s1413,s5086,s1529
s35,Tayo and Little Wizards,s105,s125,s4133,s4780,s3417,s1953,s4328,s3427,s2519,s5669
s36,The Father Who Moves Mountains,s8653,s43,s1859,s8180,s8521,s1842,s4312,s7090,s155,s8804
s37,The Stronghold,s2704,s3460,s3002,s6952,s8712,s632,s3788,s3104,s167,s3850
s38,Angry Birds,s5878,s4370,s8191,s1953,s5320,s6781,s8804,s8424,s4373,s3954
s39,Birth of the Dragon,s5357,s3675,s4343,s3859,s4471,s6453,s3388,s5874,s1733,s3840
s40,Chhota Bheem,s408,s413,s420,s414,s409,s425,s415,s412,s411,s407
s41,He-Man and the Masters of the Universe,s1771,s2381,s3110,s3367,s4161,s5981,s6901,s8340,s458,s3852
s42,Jaws,s8551,s1323,s7246,s8265,s4594,s2325,s4386,s4138,s2455,s3562
s43,Jaws 2,s8653,s36,s1859,s8180,s8521,s1842,s4312,s7090,s155,s42
s44,Jaws 3,s5542,s6642,s8660,s7282,s569,s8097,s8238,s45,s606,s359
s45,Jaws: The Revenge,s5951,s43,s42,s4100,s8668,s6117,s5403,s658,s8096,s822
s46,My Heroes Were Cowboys,s6607,s5267,s6128,s1040,s8658,s7713,s3380,s8523,s8623,s263
